compound	reaction	type	A2O_abundance	AO_abundance
C00027	R11620	NA	0.025157232704402517	0.04081632653061224
C00267	R11620	NA	0.025157232704402517	0.04081632653061224
C00794	R11620	NA	0.025157232704402517	0.04081632653061224
C00001	R11625	NA	0.06289308176100629	0.030612244897959183
C03564	R11625	NA	0.06289308176100629	0.030612244897959183
C19706	R11625	NA	0.06289308176100629	0.030612244897959183
C00002	R04573	NA	0.8490566037735849	0.7959183673469388
C00008	R04573	NA	0.8490566037735849	0.7959183673469388
C00009	R04573	NA	0.8490566037735849	0.7959183673469388
C00993	R04573	NA	0.8490566037735849	0.7959183673469388
C04702	R04573	NA	0.8490566037735849	0.7959183673469388
C05892	R04573	NA	0.8490566037735849	0.7959183673469388
C00001	R00059	NA	0.025157232704402517	0.02040816326530612
C01255	R00059	NA	0.025157232704402517	0.02040816326530612
C02378	R00059	NA	0.025157232704402517	0.02040816326530612
C16583	R10391	NA	0.025157232704402517	0.04081632653061224
C16597	R10391	NA	0.025157232704402517	0.04081632653061224
C00001	R10393	NA	0.025157232704402517	0.04081632653061224
C16597	R10393	NA	0.025157232704402517	0.04081632653061224
C20581	R10393	NA	0.025157232704402517	0.04081632653061224
C00001	R10392	NA	0.025157232704402517	0.04081632653061224
C16583	R10392	NA	0.025157232704402517	0.04081632653061224
C20581	R10392	NA	0.025157232704402517	0.04081632653061224
C00001	R10395	NA	0.025157232704402517	0.04081632653061224
C16598	R10395	NA	0.025157232704402517	0.04081632653061224
C20582	R10395	NA	0.025157232704402517	0.04081632653061224
C16598	R10394	NA	0.025157232704402517	0.04081632653061224
C16600	R10394	NA	0.025157232704402517	0.04081632653061224
C00029	R00955	NA	0.34591194968553457	0.3979591836734694
C00052	R00955	NA	0.34591194968553457	0.3979591836734694
C00103	R00955	NA	0.34591194968553457	0.3979591836734694
C00446	R00955	NA	0.34591194968553457	0.3979591836734694
C00005	R08754	NA	0.06918238993710692	0.08163265306122448
C00006	R08754	NA	0.06918238993710692	0.08163265306122448
