genome	A2O_PRE	A2O_A1	A2O_A2	A2O_O	AO_A	AO_O
A2O.67	2560.329833	2457.033867	2963.826867	1166.55435	1613.460133	1605.719867
AO.21	1387.024233	1529.5408	1386.640333	1681.327633	1473.8138	1579.8745
AO.87	1558.5648	1516.989433	1496.749633	1557.582	641.3927467	701.27388
A2O.130	230.92636	225.69991	236.9721933	227.3003433	219.3856633	230.0651233
AO.34	5211.9131	5449.249167	5533.273667	5777.015067	7096.874433	7231.79
AO.3	669.3781667	647.7349867	669.60532	680.2619333	2897.9974	3409.0066
A2O.139	331.1180233	331.7731133	323.7835967	319.24129	91.94733667	91.54211
AO.88	384.096	372.61347	391.32481	378.1745667	357.8115733	378.5307533
A2O.42	1054.497467	1098.642653	1068.14957	1126.432317	367.01863	387.26387
A2O.88	3273.7265	3538.149333	3253.199367	3415.140767	3258.7523	3263.216133
A2O.23	1428.6833	1378.3193	1423.9667	1369.1448	808.2393167	844.1855
A2O.69	1628.028867	1734.580233	1625.495467	1730.341267	979.2956867	989.0129333
AO.39	1627.225433	1600.4428	1616.139433	1591.7635	1946.521833	2054.897267
A2O.124	3396.3453	3401.718233	3584.4139	3148.389933	3815.3265	3943.4595
A2O.71	481.4963167	513.8095533	492.0119067	517.93679	507.1295867	519.85448
A2O.111	1512.8625	1519.5061	1476.742467	1569.4323	1184.889467	1187.608733
A2O.142	572.47242	604.2883467	560.66339	586.1560333	420.6458067	430.8294967
A2O.38	1298.815	1383.128233	1341.814567	1448.548067	2417.685133	2480.098033
AO.56	1058.536107	1092.147483	1052.292233	1097.9613	568.91473	583.6812233
AO.91	165.0300467	183.13338	157.44521	192.98576	429.29484	469.0589467
A2O.21	1569.262	1603.130067	1492.555433	1690.147233	1015.242113	1121.083863
AO.98	1497.7934	1500.9562	1493.350067	1481.018367	1303.5249	1349.906133
AO.41	388.1978467	422.9618667	379.79042	409.2967867	650.3256833	644.49108
A2O.39	497.6207	509.2808167	496.42949	523.5249633	261.55183	259.76069
AO.26	1907.102567	2045.879567	1905.249933	2023.741533	1956.5076	1946.623867
A2O.56	3590.3499	3846.330167	3607.432267	3841.8631	1143.07916	1129.118983
AO.97	178.2272067	169.4854733	166.29512	200.01365	426.31969	474.9076667
A2O.66	476.0797067	481.6461167	458.0050267	464.7019433	343.50369	333.0612767
A2O.76	1079.410833	1113.386807	1116.08528	1169.060687	1241.198367	1269.318433
A2O.92	801.3961167	739.9574167	776.2774467	800.85286	1161.961033	1382.7271
A2O.37	228.8050767	258.86932	216.90115	264.9792033	393.9045833	428.7399333
A2O.4	801.3230133	843.06537	772.5380333	527.10429	914.0782333	910.3406
A2O.65	1065.16322	1103.067167	1015.29968	1125.094533	778.5673133	790.9766333
A2O.24	8571.517	8351.695433	8557.7083	6208.408667	9936.581533	10635.786
AO.53	2117.733967	2251.576467	2092.4228	2277.994367	1363.6907	1377.183367
A2O.144	1651.682367	1801.017833	1615.239267	1886.401367	1067.81207	1134.575703
A2O.52	1079.071583	1141.451083	1022.641617	1116.475267	1005.953633	1011.357367
A2O.156	469.09382	487.74388	479.9721933	516.5315667	326.9410667	351.5515833
AO.49	2900.776333	3068.404067	2887.545733	3097.897967	1934.7237	1951.818967
AO.67	1201.621067	1221.991217	1281.9901	1283.809133	576.15675	604.53123
A2O.106	1410.6178	1480.244267	1373.264267	1442.425933	794.9698067	799.6112333
AO.40	1104.036967	1171.86015	1106.687583	1141.830583	1019.326067	987.18055
AO.6	150.1594633	164.48259	144.99912	173.5552433	398.02418	429.5563133
A2O.14	3127.841833	3508.5694	3105.740733	3690.914267	2634.121533	2672.8648
AO.2	634.0240567	627.3700167	606.4466833	644.4860167	707.8536333	791.72595
A2O.120	417.00184	457.3598233	408.4930067	485.1622367	280.45533	294.1902633
A2O.12	755.0741667	742.7110667	718.5842833	752.3977733	723.1913667	776.6171
A2O.53	1296.495247	1291.337367	1313.890233	1272.2535	897.0685467	940.7603733
AO.79	1498.688367	1679.971167	1523.453133	1765.848933	2119.7353	2231.022033
AO.33	305.4303533	317.7882433	314.30047	331.63242	3817.166267	3973.031733
A2O.13	1168.023733	1182.259917	1212.7608	1213.320133	678.0919333	707.4043667
A2O.145	702.9776	735.75405	703.54295	731.6104867	304.1291033	315.6374933
A2O.22	1850.4274	1907.4216	1901.1639	1977.708367	1351.793113	1378.8415
A2O.41	811.0324933	827.8919667	759.4267633	846.3026633	798.1241467	801.0494
A2O.44	409.8364333	434.15464	389.8716967	445.9392	862.1228967	892.65338
A2O.153	540.7461933	592.5251167	530.3412567	603.6655067	455.49327	454.7853533
A2O.109	3330.974767	3625.278067	3339.689767	3637.6771	3275.166333	3297.259
AO.1	2002.979967	2032.731067	2068.270167	2118.5235	2223.4152	2229.5163
A2O.155	1461.495333	1451.246733	1369.259467	1346.8023	1028.409333	1179.0936
A2O.158	1579.3852	1546.892867	1555.7118	1554.416	759.4190533	808.8793667
AO.22	2684.5644	2784.177667	2697.716167	2499.635133	2433.667267	2499.1961
AO.5	3954.774	4111.980167	3849.317167	4515.255567	4632.462133	4935.585567
A2O.32	1233.6478	1314.825267	1238.55362	1278.1232	1012.068713	985.2379967
AO.78	1081.034133	1119.666033	1134.85828	1134.289233	1262.148167	1303.5847
A2O.63	764.97152	748.3974	727.27455	798.5348	55.14062	59.06928667
A2O.60	789.65768	831.1075467	799.1886533	857.71865	172.1892267	172.5490067
AO.9	1831.8563	1958.1999	1921.001233	2033.672933	1697.499133	1718.023233
AO.71	471.15088	552.87444	452.4817467	591.68237	578.5175933	651.5761333
A2O.86	396.66362	384.5321533	364.88687	450.0976333	452.2702733	499.4613167
AO.95	3677.295233	3857.597767	3750.485433	4046.253467	3266.8771	3300.461
A2O.105	3516.7906	3585.3342	3697.6533	3798.236567	3875.496067	3922.076
AO.89	602.9378367	507.0688933	565.2723467	358.8891933	747.1569067	773.8831333
AO.23	985.1766833	1016.868467	1017.26047	1051.480833	787.7580467	800.1931967
AO.24	1221.9187	1226.65878	1196.34682	1272.770867	1375.515133	1372.786433
AO.7	1219.691067	1242.714667	1264.6729	1265.326987	852.1262667	857.0960667
A2O.127	520.6630233	546.0272933	513.4638667	566.80704	448.5798267	456.8816467
A2O.119	271.8172867	285.00901	285.2308233	287.09222	292.83651	292.1519533
A2O.57	3209.003	3391.0383	3188.811267	3435.452667	2025.438133	2052.392067
AO.80	623.5624467	432.24779	558.19558	196.12628	1140.916867	1102.830717
AO.13	653.2614333	692.1519333	662.9502167	692.9858	930.6686667	929.60923
AO.12	1585.043933	1580.573167	1549.2329	1593.631233	3409.847533	3580.802067
A2O.90	626.6641567	513.4603667	585.44278	396.15693	471.3392767	480.1914933
A2O.49	815.6492167	764.7038	821.02438	677.2494667	1645.443733	1713.435767
A2O.28	2442.332867	2444.423333	2359.867533	2478.2544	1006.57397	1086.917267
A2O.146	673.2084667	672.83942	690.5033633	681.4119	467.7366367	497.7294667
A2O.18	381.9145367	406.0997333	378.30421	399.27229	269.5212	269.5244567
AO.73	794.16692	820.7289467	805.0301533	845.0625867	1678.686833	1758.936567
AO.74	794.5234833	804.5921167	768.44265	694.4198333	2064.5709	2053.0041
AO.94	686.3040333	736.7614633	657.8253333	725.28725	723.75278	732.2128867
A2O.113	1198.664447	1173.004433	1176.247167	1168.569867	2595.947833	2722.7071
A2O.100	2642.8618	2744.921	2664.265267	2457.961367	2373.454233	2443.7952
AO.54	532.9919233	564.0973433	569.1991667	564.6675367	439.58595	451.6571433
AO.17	380.25751	401.4935967	360.03678	408.8403767	975.1039	1015.613467
A2O.20	5695.714733	5840.3025	5719.571567	6031.093833	7092.287367	7205.107433
A2O.147	619.4906633	549.3594733	590.5229333	464.9397	415.61974	371.8497767
AO.38	578.39908	479.27877	539.64791	343.0262933	706.82025	727.0947333
AO.85	746.1918	841.5477133	721.10612	912.4918633	608.4627533	664.61262
A2O.89	762.4387367	785.5862	741.13128	665.8897667	1951.914433	1923.947567
A2O.7	1500.797933	1493.088267	1540.8933	1505.789567	1623.960667	1649.724267
AO.31	373.4569933	562.6558467	494.2158833	365.64853	1076.16822	631.9185767
A2O.121	1640.328333	1683.8911	1525.0532	1838.915467	1251.578067	1279.314667
